¼ø¼­,Precursor,Co-reactant,Precursor_Pulse Time (s),Co-reactant_Pulse Time (s),Cycles (n),Temperature (c),Pressure (torr),Purge Gas,Purge Time (s),Purge Gas Flow Rate (cm3/min),Precursor Flow Rate (cm3/min),Co-reactant Flow Rate (cm3/min),Thickness (nm),"Surface Roughness (RMS, nm)",Uniformity (%),"Step Coverage (sc, %)",Density (g/cm3),GPC (A/cycle),Aspect Ratio (AR),Leakage Current Density (A/cm2),Dielectric Constant (¥å),Breakdown Field (MV/cm)
55,Al/Hf Precursors,H2O (Implied),-,-,-,304,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
56,HfCl4?,H2O,0.3,0.3,100,397,0.001,N2,5,-,-,-,10,0.3,-,-,9.5,1,-,0.0000005,17,4
57,TMA,H2O,0.05,0.015,100,196,0.3,N2,5,-,-,-,11.8,-,-,-,-,-,-,-,-,-
58,TMA,H2O,0.05,0.015,100,230,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
59,TDMAH,H2O,0.15,0.03,100,224,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
60,TEMAHf,O3,0.5,0.5,100,255,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
61,TDMAH,H2O,0.15,0.03,100,229,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
62,TEMAZ,O2??plasma,0.05,1,50,150,0.005,Ar,1,-,50,200,3.5,0.2,-,100,5.8,0.7,10,1.00E-08,23,-
63,TDMAH,H2O,0.15,0.03,100,226,-,N2,6,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Hf/Al Precursor,Plasma,-,-,120,157,-,-,-,-,-,-,-,-,-,-,-,1.8,-,2.30E-08,20.7,7.4
65,TMA,O3?,0.03,0.03,50,304,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
66,Zr(NEt2?)4?,H2O,1,1,1000,200,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
67,TMA,H2O,0.05,0.015,100,226,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
68,TDMAH,H2O,0.5,0.5,150,235,0.2,N2,5,50,-,-,15,0.25,1.8,-,-,1,-,0.0000002,20,6
69,TDMAH,H2O,0.05,0.01,100,246,0.3,N2,3,100,-,-,10,-,-,-,-,1,-,0.0000001,15,8
70,ZrCl4?,H2O,0.5,0.5,200,348,0.5,N2,10,200,-,-,20,-,2.5,98,5.6,1,-,0.000001,24,5
71,TMA,O3?,0.01,0.02,500,295,1,N2,0.5,-,-,-,50,-,0.9,-,-,1,-,0.0000001,8.8,12
72,TDMAH,H2O,0.05,0.01,100,248,0.3,N2,3,100,-,-,10,-,-,-,-,1,-,0.0000001,15,8
73,ZrCl4?,H2O,0.5,0.5,200,355,0.5,N2,10,200,-,-,20,-,2.5,98,5.6,1,-,0.000001,24,5
74,TMA,H2O,0.05,0.015,100,203,0.3,N2,5,-,-,-,11.8,-,-,-,-,-,-,-,-,-
75,TEMAHf,O3??plasma,0.2,0.5,300,151,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
76,TDMAH,H2O,0.3,0.3,100,247,0.15,N2,10,100,-,-,10,0.2,1.5,-,9.4,1,-,0.0000005,19,5
77,TMA/TDMAH,O2 plasma,0.05,5,100,148,0.15,Ar,5,-,-,-,10,0.15,-,-,-,1.3,10,2.00E-08,21,-
78,TMA,H2O,0.05,0.015,100,226,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
79,TEMAHf,O3??plasma,0.2,0.5,300,146,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
80,Hf/Al Precursor,Plasma,-,-,120,148,-,-,-,-,-,-,-,-,-,-,-,1.8,-,2.30E-08,20.7,7.4
81,Zr(NEt2?)4?,H2O,1,1,1000,198,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
82,Hf Precursor,O3,-,-,-,86,-,-,-,-,-,-,-,0.2,-,-,8,-,-,0.000025,16,4
83,TEMAHf,O3,0.5,0.5,100,256,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
84,TMA,H2O,0.05,0.015,100,220,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
85,TEMAHf,O3??plasma,0.2,0.5,300,148,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
86,TMA,H2O,0.05,0.015,100,200,0.3,N2,5,-,-,-,11.8,-,-,-,-,-,-,-,-,-
87,TMA,H2O,0.05,0.015,100,230,-,N2,5,-,-,-,-,-,-,-,-,-,10,-,-,-
88,TEMAHf,O3??plasma,0.2,0.5,300,154,0.05,Ar,0.5,100,-,100,30,0.3,1.2,-,9.5,1,-,1.00E-08,18,7.5
89,TMA,O3?,0.03,0.03,50,288,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
90,TDMAH,H2O,0.5,0.5,150,222,0.2,N2,5,50,-,-,15,0.25,1.8,-,-,1,-,0.0000002,20,6
91,TEMAZ,O2??plasma,0.05,1,50,147,0.005,Ar,1,-,50,200,3.5,0.2,-,100,5.8,0.7,10,1.00E-08,23,-
92,TEMAHf,O3,0.5,0.5,100,252,0.1,N2,1.5,500,-,200,15,0.3,-,-,9.8,1.5,-,0.000001,20,-
93,Al/Hf Precursors,H2O (Implied),-,-,-,295,-,-,-,-,-,-,8,-,-,-,-,-,-,6.00E-08,12.5,7.9
94,TDMAH/TMA,O3?,0.1,0.1,100,323,0.2,N2,2,-,-,-,20,-,1.5,-,-,1.1,-,0.0000001,22,-
95,TDMAH,H2O,0.5,0.5,150,224,0.2,N2,5,50,-,-,15,0.25,1.8,-,-,1,-,0.0000002,20,6
96,TMA,O2 plasma,-,-,-,74,-,Ar,-,-,-,-,50,-,-,-,-,-,-,-,-,-
97,TMA,H2O,0.1,0.1,100,302,0.15,N2,5,200,-,-,10,-,3.2,99.5,-,1,10,-,9,8.5
98,Zr(NEt2?)4?,H2O,1,1,1000,205,0.1,N2,1,-,-,-,100,0.18,3,100,5.6,1,50,-,20,-
99,TMA,O3?,0.03,0.03,50,302,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
100,TMA,O3?,0.03,0.03,50,296,-,N2,0.5,-,-,-,5,-,-,-,-,0.8,-,0.000001,7.5,10
101,TMA,H2O,0.09,0.09,1000,150,-,N2,2,150,-,-,-,-,-,-,3.6,1.3,-,-,-,-
102,TMA,H2O,0.09,0.09,1000,200,-,N2,2,150,-,-,-,-,-,-,3.6,1.05,-,-,-,-
103,TMA,H2O,0.05,6,300,70,1.54,Ar,10,-,-,-,50,0.32,-,-,-,1.7,-,-,6.95,4.9
104,TMA,H2O,0.05,6,470,70,1.54,Ar,10,-,-,-,80,0.32,-,-,-,1.7,-,-,6.95,4.9
105,TMA,H2O,0.05,6,650,70,1.54,Ar,10,-,-,-,110,0.32,-,-,-,1.7,-,-,6.95,4.9
106,TMA,O2,0.05,6,300,70,1.54,Ar,10,-,-,-,50,0.32,-,-,-,1.6,-,-,6.95,4.9
107,TMA,O2,0.05,6,470,70,1.54,Ar,10,-,-,-,75,0.32,-,-,-,1.6,-,-,6.95,4.9
108,TMA,O2,0.05,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.6,-,-,6.95,4.9
109,TMA,H2O,0.025,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.5,-,-,6.95,4.9
110,TMA,H2O,0.05,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.6,-,-,6.95,4.9
111,TMA,H2O,0.075,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.61,-,-,6.95,4.9
112,TMA,H2O,0.1,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.62,-,-,6.95,4.9
113,TMA,O2,0.025,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.48,-,-,6.95,4.9
114,TMA,O2,0.05,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.6,-,-,6.95,4.9
115,TMA,O2,0.075,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.61,-,-,6.95,4.9
116,TMA,O2,0.1,6,680,70,1.54,Ar,10,-,-,-,100,0.32,-,-,-,1.5,-,-,6.95,4.9
117,TMA,O3,0.25,7,190,200,1.54,N2,3,400,-,250,-,-,-,-,-,2,-,-,-,-
118,HfCp(NMe©ü)©ý,O2,5,8,100,150,0.02,Ar,2,100,100,-,11.5,-,-,-,-,1.15,9,-,-,-
119,HfCp(NMe©ü)©ý,O2,5,8,100,200,0.02,Ar,2,100,100,-,11,-,-,-,-,1.1,9,-,-,-
120,HfCp(NMe©ü)©ý,O2,5,8,100,250,0.02,Ar,2,100,100,-,10.8,-,-,-,-,1.08,9,-,-,-
121,HfCp(NMe©ü)©ý,O2,5,8,100,300,0.02,Ar,2,100,100,-,10.5,-,-,-,-,1.05,9,-,-,-
122,HfCp(NMe©ü)©ý,O2,5,8,100,350,0.02,Ar,2,100,100,-,10.3,-,-,-,-,1.03,9,-,-,-
123,HfCp(NMe©ü)©ý,O2,5,8,100,400,0.02,Ar,2,100,100,-,10,-,-,-,-,1,9,-,-,-
124,HfCp(NMe©ü)©ý,O2,5,8,200,150,0.02,Ar,2,100,100,-,23,-,-,-,-,1.15,9,-,-,-
125,HfCp(NMe©ü)©ý,O2,5,8,200,200,0.02,Ar,2,100,100,-,22,-,-,-,-,1.1,9,-,-,-
126,HfCp(NMe©ü)©ý,O2,5,8,200,250,0.02,Ar,2,100,100,-,21.6,-,-,-,-,1.08,9,-,-,-
127,HfCp(NMe©ü)©ý,O2,5,8,200,300,0.02,Ar,2,100,100,-,21,-,-,-,-,1.05,9,-,-,-
128,HfCp(NMe©ü)©ý,O2,5,8,200,350,0.02,Ar,2,100,100,-,20.6,-,-,-,-,1.03,9,-,-,-
129,HfCp(NMe©ü)©ý,O2,5,8,200,400,0.02,Ar,2,100,100,-,20,-,-,-,-,1,9,-,-,-
130,HfCp(NMe©ü)©ý,O2,5,8,300,150,0.02,Ar,2,100,100,-,34.5,-,-,-,-,1.15,9,-,-,-
131,HfCp(NMe©ü)©ý,O2,5,8,300,200,0.02,Ar,2,100,100,-,33,-,-,-,-,1.1,9,-,-,-
132,HfCp(NMe©ü)©ý,O2,5,8,300,250,0.02,Ar,2,100,100,-,32.4,-,-,-,-,1.08,9,-,-,-
133,HfCp(NMe©ü)©ý,O2,5,8,300,300,0.02,Ar,2,100,100,-,31.5,-,-,-,-,1.05,9,-,-,-
134,HfCp(NMe©ü)©ý,O2,5,8,300,350,0.02,Ar,2,100,100,-,30.9,-,-,-,-,1.03,9,-,-,-
135,HfCp(NMe©ü)©ý,O2,5,8,300,400,0.02,Ar,2,100,100,-,30,-,-,-,-,1,9,-,-,-
136,TEMAHf,H2O,1.6,0.2,600,180,1.3,N2,5,120,120,150,72,,-,-,-,1.21,-,-,-,-
137,TEMAHf,H2O,1.6,0.2,600,200,1.3,N2,5,120,120,150,66,,-,-,-,1.08,-,-,-,-
138,TEMAHf,H2O,1.6,0.2,600,220,1.3,N2,5,120,120,150,60,,-,-,-,1.03,-,-,-,-
139,TEMAHf,H2O,1.6,0.2,600,250,1.3,N2,5,120,120,150,56,,-,-,-,0.93,-,-,-,-
140,TEMAHf,H2O,1.6,0.2,600,290,1.3,N2,5,120,120,150,52,,-,-,-,0.87,-,-,-,-
141,TMA,O3,-,-,100,320,0.27,Ar,-,-,50,600,9.79,-,-,-,-,0.89,-,-,-,-
142,TMA,O3,-,-,100,320,0.8,Ar,-,-,50,600,10.3,-,-,-,-,0.94,-,-,-,-
143,TMA,O3,-,-,100,320,1.07,Ar,-,-,50,600,10.44,-,-,-,-,0.95,-,-,-,-
144,TMA,O3,-,-,100,320,1.33,Ar,-,-,50,600,10.51,-,-,-,-,0.96,-,-,-,-
145,TMA,H2O,-,-,100,320,0.013,Ar,-,-,-,-,13,-,-,-,-,1.3,-,1.00E-08,-,-
146,TEMAHf,H2O,-,-,200,350,0.013,Ar,-,-,-,-,15,0.21,-,-,-,0.75,-,0.0000001,-,-
147,TMA,H2O,0.05,0.015,400,200,0.3,N2,10,-,-,-,44,-,2,-,-,1.1,-,-,6.8,-
148,TMA,O3,0.05,0.2,400,200,0.3,N2,14,-,-,-,33,-,2,-,-,0.8,-,-,6.5,-
149,TMA,H2O,0.05,0.015,95,200,-,N2,5,-,-,-,11.6,-,-,-,-,1.22,-,-,-,-
150,TDMAH,H2O,0.15,0.03,100,225,-,N2,5.5,-,-,-,10.9,-,-,-,-,1.09,-,-,-,-
151,TMA,H2O,2,1,-,195,0.13,N2,1,800,-,-,60,-,-,-,-,1.2,-,-,-,-
152,DMASBO,H2O,3,1,200,150,0.67,N2,10,200,-,100,15.6,-,-,100%,2.77,0.78,6.3,1.00E-08,8.1,-
153,DMASBO,H2O,3,1,200,175,0.67,N2,10,200,-,100,16.6,-,-,100%,2.85,0.83,6.3,1.00E-08,8.1,-
154,DMASBO,H2O,3,1,200,200,0.67,N2,10,200,-,100,18.2,-,-,100%,2.92,0.91,6.3,1.00E-08,8.1,-
155,DMASBO,H2O,3,1,200,225,0.67,N2,10,200,-,100,18.8,-,-,100%,2.9,0.94,6.3,1.00E-08,8.1,-
156,DMASBO,H2O,3,1,200,250,0.67,N2,10,200,-,100,19,-,-,100%,2.97,0.95,6.3,1.00E-08,8.1,-
157,DMASBO,H2O,3,1,200,275,0.67,N2,10,200,-,100,19.2,-,-,100%,3.05,0.96,6.3,1.00E-08,8.1,-
158,DMASBO,H2O,3,1,200,300,0.67,N2,10,200,-,100,20.4,-,-,100%,3.14,1.2,6.3,1.00E-08,8.1,-
159,TMA,H2O,0.65,1,475,200,-,N2,-,-,-,-,53,-,-,-,-,1.12,-,2.00E-08,7.7,4
160,TMA,H2O,0.65,2,475,150,-,N2,-,-,-,-,52.8,-,-,-,-,1.11,-,0.0000001,5.8,7.8
161,TMA,H2O,0.65,5,475,150,-,N2,-,-,-,-,55.3,-,-,-,-,1.16,-,1.00E-08,7.3,2.7
162,TMA,H2O,1,5,475,150,-,N2,-,-,-,-,58.9,-,-,-,-,1.24,-,5.00E-09,6.1,5.4
163,TMA,H2O,2,5,475,150,-,N2,-,-,-,-,53.8,-,-,-,-,1.13,-,6.00E-09,6.6,7.3
164,TMA,H2O,5,8,475,150,-,N2,-,-,-,-,52.1,-,-,-,-,1.1,-,8.00E-09,7.7,3.7
165,TMA,H2O,5,8,475,150,-,N2,-,-,-,-,51.9,-,-,-,-,1.09,-,1.00E-08,7.9,4.1
166,TMA,H2O,5,8,475,150,-,N2,-,-,-,-,50.1,-,-,-,-,1.06,-,1.00E-08,8.6,2.9
167,TMA,H2O,5,8,475,150,-,N2,-,-,-,-,47.6,-,-,-,-,1,-,1.00E-08,8.6,3.8
168,TMA,H2O,5,8,475,150,-,N2,-,-,-,-,45.9,-,-,-,-,0.97,-,1.00E-08,8.4,4.1
169,TMA,H©üO,0.2,2,700,100,0.02,N©ü,2,60,-,-,63,-,1.2,98,2.6,0.9,8,-,8.35,9.05
170,TMA,H©üO,0.2,2,700,200,0.02,N©ü,2,60,-,-,70,-,0.8,98,2.8,1,8,-,8.35,9.05
171,TMA,H©üO,0.2,2,700,300,0.02,N©ü,2,60,-,-,73.5,-,0.5,98,3,1.05,8,-,8.35,9.05
172,TMA,H©üO,0.15,0.15,25,200,0.02,N©ü,2,100,-,-,3,-,1,98,2.9,1.2,8,1.00E-08,7.8,9.7
173,TMA,H©üO,0.15,0.15,50,200,0.02,N©ü,2,100,-,-,5.5,-,0.9,98,2.9,1.1,8,1.00E-08,7.8,9.7
174,TMA,H©üO,0.15,0.15,75,200,0.02,N©ü,2,100,-,-,8,-,0.9,98,2.9,1.07,8,1.00E-08,7.8,9.7
175,TMA,H©üO,0.15,0.15,100,200,0.02,N©ü,2,100,-,-,11,-,0.8,98,2.9,1.1,8,1.00E-08,7.8,9.7
176,TMA,H©üO,0.15,0.15,200,200,0.02,N©ü,2,100,-,-,20,-,0.7,98,2.9,1,8,1.00E-08,7.8,9.7
177,TMA,H©üO,0.15,0.15,700,200,0.02,N©ü,2,100,-,-,72,-,0.5,98,2.9,1.03,8,1.00E-08,7.8,9.7
178,TEMAHf,O2,-,-,197,-,-,Ar,-,-,-,-,18,-,95,92.6,-,1.04,7,0.0001,22.2,-
179,TMA,O2,2,3,69,180,-,Ar,5,50,-,200,10.3,0.4,99,50.3,2.94,2.2,40.5,0.0000001,-,-
180,TDMAHf,H2O,-,-,-,200,-,N2,-,-,-,-,10,-,-,-,-,0.94,-,-,23.9,2
