title,authors,abstract,published_date,pdf_link
Topology-Optimized Dielectric Cavities for Enhanced Excitonic Light Emission from $\rm WSe_{2}$,"Owen Matthiessen, Brandon Triplett, Omer Yesilyurt, Davide Cassara, Karthik Pagadala, Morris M. Yang, Andres E. Llacsahuanga Allcca, Hamza Ather, Colton Fruhling, Abhishek Bharatbhai Solanki, Yong P. Chen, Hadiseh Alaeian, Alexander V. Kildishev, Vladimir M. Shalaev, Federico Capasso, Alexandra Boltasseva, Vahagn Mkhitaryan","Photonic inverse design and, especially, topology optimization, enable dielectric cavities with deeply sub-diffraction mode volumes and high quality factors, thus offering a powerful platform for enhanced light-matter coupling. Here, we design and fabricate arrays of CMOS-compatible silicon cavities on sapphire with extreme subwavelength transverse mode sizes of only 30-40 nm ($\rm V\sim\lambda^3/2500$). These cavities are engineered for deterministic coupling to a monolayer (or few-layer) excitonic material, producing strong near-field localization directly beneath the 2D material. Photoluminescence (PL) measurements show reproducible tenfold enhancements relative to bare silicon, consistent with numerical simulations that account for material absorption and fabrication tolerances. Furthermore, time-resolved PL measurements reveal pronounced lifetime shortening and non-exponential dynamics, indicating cavity-mediated exciton-exciton interactions. The optimized cavity geometry enhances the far-field collection efficiency and supports scalable integration with van der Waals semiconductors. Our results show that the arrays of topology-optimized dielectric cavities are a versatile, scalable platform for controlling excitonic emission and interactions, which creates new opportunities in nonlinear optics, optoelectronics, and quantum photonics.",2025-09-30,http://arxiv.org/pdf/2509.26503v1
Nondestructive characterization of laser-cooled atoms using machine learning,"G. De Sousa, M. Doris, D. D'Amato, B. Egleston, J. P. Zwolak, I. B. Spielman","We develop machine learning techniques for estimating physical properties of laser-cooled potassium-39 atoms in a magneto-optical trap using only the scattered light -- i.e., fluorescence -- that is intrinsic to the cooling process. In-situ snap-shot images of fluorescing atomic ensembles directly reveal the spatial structure of these millimeter-scale objects but contain no obvious information regarding internal properties such as the temperature. We first assembled and labeled a balanced dataset sampling $8\times10^3$ different experimental parameters that includes examples with: large and dense atomic ensembles, a complete absence of atoms, and everything in between. We describe a range of models trained to predict atom number and temperature solely from fluorescence images. These run the gamut from a poorly performing linear regression model based only on integrated fluorescence to deep neural networks that give number and temperature with fractional uncertainties of $0.1$ and $0.2$ respectively.",2025-09-30,http://arxiv.org/pdf/2509.26479v1
ErrorPrism: Reconstructing Error Propagation Paths in Cloud Service Systems,"Junsong Pu, Yichen Li, Zhuangbin Chen, Jinyang Liu, Zhihan Jiang, Jianjun Chen, Rui Shi, Zibin Zheng, Tieying Zhang","Reliability management in cloud service systems is challenging due to the cascading effect of failures. Error wrapping, a practice prevalent in modern microservice development, enriches errors with context at each layer of the function call stack, constructing an error chain that describes a failure from its technical origin to its business impact. However, this also presents a significant traceability problem when recovering the complete error propagation path from the final log message back to its source. Existing approaches are ineffective at addressing this problem. To fill this gap, we present ErrorPrism in this work for automated reconstruction of error propagation paths in production microservice systems. ErrorPrism first performs static analysis on service code repositories to build a function call graph and map log strings to relevant candidate functions. This significantly reduces the path search space for subsequent analysis. Then, ErrorPrism employs an LLM agent to perform an iterative backward search to accurately reconstruct the complete, multi-hop error path. Evaluated on 67 production microservices at ByteDance, ErrorPrism achieves 97.0% accuracy in reconstructing paths for 102 real-world errors, outperforming existing static analysis and LLM-based approaches. ErrorPrism provides an effective and practical tool for root cause analysis in industrial microservice systems.",2025-09-30,http://arxiv.org/pdf/2509.26463v1
Multi-View Camera System for Variant-Aware Autonomous Vehicle Inspection and Defect Detection,"Yash Kulkarni, Raman Jha, Renu Kachhoria","Ensuring that every vehicle leaving a modern production line is built to the correct \emph{variant} specification and is free from visible defects is an increasingly complex challenge. We present the \textbf{Automated Vehicle Inspection (AVI)} platform, an end-to-end, \emph{multi-view} perception system that couples deep-learning detectors with a semantic rule engine to deliver \emph{variant-aware} quality control in real time. Eleven synchronized cameras capture a full 360{\deg} sweep of each vehicle; task-specific views are then routed to specialised modules: YOLOv8 for part detection, EfficientNet for ICE/EV classification, Gemini-1.5 Flash for mascot OCR, and YOLOv8-Seg for scratch-and-dent segmentation. A view-aware fusion layer standardises evidence, while a VIN-conditioned rule engine compares detected features against the expected manifest, producing an interpretable pass/fail report in \(\approx\! 300\,\text{ms}\). On a mixed data set of Original Equipment Manufacturer(OEM) vehicle data sets of four distinct models plus public scratch/dent images, AVI achieves \textbf{ 93 \%} verification accuracy, \textbf{86 \%} defect-detection recall, and sustains \(\mathbf{3.3}\) vehicles/min, surpassing single-view or no segmentation baselines by large margins. To our knowledge, this is the first publicly reported system that unifies multi-camera feature validation with defect detection in a deployable automotive setting in industry.",2025-09-30,http://arxiv.org/pdf/2509.26454v1
Silicon pinhole strip defects and their impact on ATLAS Inner Tracker HV current measurement,"Anthony Affolder, Kirsten Affolder, Emily Duden, Vitaliy Fadeyev, Cole Helling, David Lynn, Forest Martinez-Mckinney, Peter Phillips, Luise Poley, Tate Sakaguchi, Abdullah Sayed, Stefania Stucci, Alex Wang, Marcus Wong","In preparation for the High-Luminsoity LHC (HL-LHC), the ATLAS detector will undergo major detector upgrades, including the replacement of the current Inner Detector with the new all-silicon Inner Tracker (ITk). The ITk consists of a pixel detector close to the beamline surrounded by a large-area strip detector. During detector production, the electrical properties of silicon sensors and readout electronics must be characterized through a series of quality control (QC) and quality assurance tests. These tests ensure any defect is captured at the earliest possible stage. One such defect, called a pinhole, occurs when the strip implant and the metal readout electrode are shorted through the intermediary dielectric layer. Notably, the introduction of pinholes during module assembly and pinhole effects on completed modules, especially on leakage current measurement circuitry, have never been studied. In this paper, we investigate the effect of such connections on the sensor leakage current measurements of completed modules and introduce new ways to locate pinholed strips. With minor modifications to testing procedures, such defects are shown not to impede module testing or performance.",2025-09-30,http://arxiv.org/pdf/2509.26441v1
"The Grammar of FAIR: A Granular Architecture of Semantic Units for FAIR Semantics, Inspired by Biology and Linguistics","Lars Vogt, Barend Mons","The FAIR Principles aim to make data and knowledge Findable, Accessible, Interoperable, and Reusable, yet current digital infrastructures often lack a unifying semantic framework that bridges human cognition and machine-actionability. In this paper, we introduce the Grammar of FAIR: a granular and modular architecture for FAIR semantics built on the concept of semantic units. Semantic units, comprising atomic statement units and composite compound units, implement the principle of semantic modularisation, decomposing data and knowledge into independently identifiable, semantically meaningful, and machine-actionable units. A central metaphor guiding our approach is the analogy between the hierarchy of level of organisation in biological systems and the hierarchy of levels of organisation in information systems: both are structured by granular building blocks that mediate across multiple perspectives while preserving functional unity. Drawing further inspiration from concept formation and natural language grammar, we show how these building blocks map to FAIR Digitial Objects (FDOs), enabling format-agnostic semantic transitivity from natural language token models to schema-based representations. This dual biological-linguistic analogy provides a semantics-first foundation for evolving cross-ecosystem infrastructures, paving the way for the Internet of FAIR Data and Services (IFDS) and a future of modular, AI-ready, and citation-granular scholarly communication.",2025-09-30,http://arxiv.org/pdf/2509.26434v1
Strain-Gradient-Driven Decoupling of Thermal Suppression from Anisotropy in \b{eta}-Ga2O3,"Guangwu Zhang, Xing Xiang, Ziyan Qian, Yixin Xu, Shengying Yue, Hyejin Jang, Lin Yang, Yanguang Zhou, Xinyu Wang, Qiye Zheng","Strain gradients, ubiquitous in flexible devices and epitaxial nanostructures, are a major blind spot for thermal transport in \b{eta}-Ga2O3. We establish that strain gradient unlocks a thermal conductivity (k) suppression mechanism fundamentally more potent than uniform strain: moderate uniaxial gradients (0.6%/nm) suppress k by 32-37% (27-30%) in thin films (nanowires), intensifying to 43.3% with biaxial gradients. This reduction far exceeds that from equivalent uniform strain and surpasses benchmark materials like silicon and BAs. Critically, a surprising decoupling emerges: while 3% uniform strain alters thermal anisotropy by ~25%, strain gradient strongly suppresses k with preserving this ratio. Mechanistically, strain gradients-induced symmetry breaking and enhanced mode coupling anisotropically activate forbidden scattering channels, making gradient-driven scattering dominant over intrinsic phonon scattering below 6.25 THz. These findings redefine non-uniform strain from a parasitic flaw into a powerful design tool for engineering thermal isolation and heat flux in next-generation flexible and high-power \b{eta}-Ga2O3 electronics.",2025-09-30,http://arxiv.org/pdf/2509.26412v1
Method for backtracking the layer thermal conductivities of multilayer thin film structure using coupled Newton Raphson approach and 3-omega approach,"Aigbe Awenlimobor, Jiajun Xu","The thermal conductivity of thin films is commonly estimated using the 3-omega experimental method. When calibrating the test setup, it is customary to use a specimen with a known thermal conductivity for validation. However, when determining the thermal conductivity of samples with unknown values, numerical approximations can provide a means to validate experimental results and ensure the integrity of the setup. A simple analytical or finite element analysis (FEA) method can be used to achieve this. For multilayer systems of unknown layer thermal conductivities, the 3-omega experimental setup only provides information about the overall bulk thermal conductivity of the system. To obtain the individual layer thermal conductivities, a combined experimental and numerical approach can be used. This article presents a novel method for backtracking the layer thermal conductivities of a multilayer thin film structure using a coupled 3-omega experimental and Newton-Raphson numerical approach. The method is validated using high-fidelity data obtained from literature.",2025-09-30,http://arxiv.org/pdf/2509.26408v1
Increase in packing density during multi-layer powder spreading: An experimental and numerical study,"Olivier Gaboriault, Anatolie Timercan, Roger Pelletier, Louis-Philippe Lefebvre, David Melancon, Bruno Blais","A custom apparatus designed to isolate and replicate the spreading process of metal powder in additive manufacturing demonstrates a sudden and unexplained increase in packing density beyond layers 5 to 10. We replicate the experiments that lead to densification with the discrete element method (DEM) using \lethe{}, an open-source software framework. We show that large-scale multi-layer DEM simulations are able to reproduce the densification observed experimentally. Using the Lagrangian simulation results, we highlight significant particle displacement in the powder bed at lower layer number, accompanied by static zones generated by the vertical wall surrounding the powder bed. The amplitude of the densification and the layer number at which it starts to occur is correlated to the distance between those two vertical walls which delimit the powder spreading area. This study addresses the gap between mono-layer powder spreading studies on hard-flat surfaces and the actual metal powder-based additive manufacturing processes by providing a better understanding of how the powder bed behaves during multi-layer spreading.",2025-09-30,http://arxiv.org/pdf/2509.26402v1
Precision measurement and modelling of the threshold-free 210Pb β spectrum,"Shuo Zhang, Hao-Ran Liu, Xavier Mougeot, Paul-Antoine Hervieux, Tao Sun, Wen-Tao Wu, Robin Cantor, Jingkai Xia, Zhi Liu, Cheng Liang, Fu-You Fan, Le Zhang, Mingyu Ge, Xiao-Peng Zhou, Adrien Andoche","Beta decay is a fundamental process that governs nuclear stability and serves as a sensitive probe of the weak interaction and possible physics beyond the Standard Model of particle physics. However, precise measurements of complete \beta decay spectra, particularly at low energies, remain experimentally and theoretically challenging. Here we report a high-precision, threshold-free measurement of the full \beta decay spectrum of 210Pb to excited states of 210Bi, using a transition-edge sensor (TES)-based micro-calorimeter. This approach enables the detection of \beta particle energies from 0 keV up to their endpoint by coincidence summing with subsequent de-excitation energy, thereby eliminating reconstruction artifacts near zero energy that have traditionally limited low-energy spectral accuracy. To our knowledge, this is the first complete, high-precision \beta decay spectrum from 0 keV. The data resolve theoretical uncertainties associated with the atomic quantum exchange (AQE) effect. An accompanying ab initio theoretical framework, incorporating atomic, leptonic, and nuclear components, predicts a statistically significant (7.2 {\sigma}) enhancement in \beta emission probability near zero energy, in agreement with the measurement and in contrast to models that omit AQE corrections. These results provide a new benchmark for \beta decay theory at low energies, deepen our understanding of the weak interaction, and establish a critical foundation for searches for new physics, including dark matter interactions and precision studies of neutrinos.",2025-09-30,http://arxiv.org/pdf/2509.26390v1
Microwave-to-Optical Quantum Transduction of Photons for Quantum Interconnects,"Akihiko Sekine, Ryo Murakami, Yoshiyasu Doi","The quantum transduction, or equivalently quantum frequency conversion, is vital for the realization of, e.g., quantum networks, distributed quantum computing, and quantum repeaters. The microwave-to-optical quantum transduction is of particular interest in the field of superconducting quantum computing, since interconnecting dilution refrigerators is considered inevitable for realizing large-scale quantum computers with fault-tolerance. In this review, we overview recent theoretical and experimental studies on the quantum transduction between microwave and optical photons. We describe a generic theory for the quantum transduction employing the input-output formalism, from which the essential quantities characterizing the transduction, i.e., the expressions for the transduction efficiency, the added noise, and the transduction bandwidth are derived. We review the major transduction methods that have been experimentally demonstrated, focusing the transduction via the optomechanical effect, the electro-optic effect, the magneto-optic effect, and the atomic ensembles. We also briefly review the recent experimental progress on the quantum transduction from superconducting qubit to optical photon, which is an important step toward the quantum state transfer between distant superconducting qubits interconnected over optical fibers.",2025-09-30,http://arxiv.org/pdf/2509.26349v1
MoSe2 and WSe2 shell morphology control via temperature optimization during two-step growth of ZnSe-based core-shell nanowires,"Luize Dipane, Liora Kotlara, Viktors Vibornijs, Katrina Laganovska, Aleksejs Zolotarjovs, Eriks Dipans, Jevgenijs Gabrusenoks, Boris Polyakov, Edgars Butanovs","Achieving uniform and controlled transition metal dichalcogenide (TMD) shell growth on nanowires (NWs) remains a key challenge, limiting the development of high-quality core-shell heterostructures for optoelectronic and photocatalytic applications. In this work, the fabrication of ZnSe-MoSe2 and ZnSe-WSe2 core-shell NWs was successfully demonstrated. ZnSe NWs were grown via the vapor-liquid-solid growth mechanism, while TMD (MoSe2 or WSe2) shells were formed through a two-step process of sacrificial oxide layer deposition via magnetron sputtering followed by selenization process in a chemical vapor transport reactor. As-grown nanostructures were characterized using X-ray diffraction, transmission electron microscopy, X-ray photoelectron spectroscopy, Raman spectroscopy and photoluminescence spectroscopy. It was observed that the TMD shell morphology can be controlled through the selenization process temperature optimization, which arises due to different growth mechanisms discussed here. The studied trends could be further extended to other semiconductor NW and TMD core-shell heterostructure growth, offering promising avenues for advanced nanoscale applications.",2025-09-30,http://arxiv.org/pdf/2509.26312v1
