title,material,temperature_C,pressure,pulse_time,cycles,aspect_ratio
Study of amorphous alumina coatings for next-generation nuclear reactors: hightemperature in-situ and post-mortem Raman spectroscopy and X-ray diffraction,"TiN, Al2O3",1050.0,,30 s,,
High performance vacuum annealed beta-(AlxGa1-x)2O3/Ga2O3 HFET with f_T/f_MAX of 32/65 GHz,"TiN, Al2O3",6000.0,10 torr,110 mS,,
Effect of Al2O3 on the operation of SiNX-based MIS RRAMs,"TiN, HfO2, Al2O3",950.0,,,100.0,
Ferroelectricity in undoped HfO2 down to one-unit-cell on Si substrate,"TiN, HfO2, Al2O3",1.0,2 PA,1 s,,
Josephson Field Effect Transistors with InAs on Insulator and High Permittivity Gate Dielectrics,"TiN, HfO2, Al2O3",320.0,9 Torr,2 S,,
3D Free-Form Optical Lens -- Miniaturised Fibre Couplers for Astrophotonics,"TiN, Al2O3",7.0,,0.25 ms,,
Hypocoercivity meets lifts,TiN,,,2 s,,
Nanoparticle doping as a way to enhance holmium fiber lasers efficiency,"TiN, Al2O3",250.0,,1.6 ms,,
HfO$_2$-based platform for high-index-contrast visible/UV integrated photonics,"TiN, HfO2, Al2O3",1.0,,11. S,,
A Unified Framework for Harnessing Heat and Light with Hydrovoltaic Devices,"TiN, Al2O3",25.0,,125 s,,
In-poor IGZO: superior resilience to hydrogen in forming gas anneal and PBTI,"TiN, HfO2, Al2O3",125.0,,103 s,,
Unraveling the Dusty Environment Around RT Vir,"TiN, Al2O3",709290.0,,100 s,,
Reflected-light Phase Curves with PICASO: A Kepler-7b Case Study,"TiN, Al2O3",2.0,,2 s,,
Effect of Top Al$_2$O$_3$ Interlayer Thickness on Memory Window and Reliability of FeFETs With TiN/Al$_2$O$_3$/Hf$_{0.5}$Zr$_{0.5}$O$_2$/SiO$_x$/Si (MIFIS) Gate Structure,"TiN, HfO2, Al2O3",,,10 s,1010.0,
Phase transformation and water adsorption behavior of ALD deposited and annealed Ru and RuO2 films,TiN,0.0,1 Torr,1 s,,
Single-domain imaging in topological insulator Bi2Te3 thin films,"TiN, Al2O3",1.0,10 Torr,,,
Interface energies of Ga2O3 phases with the sapphire substrate and the phase-locked epitaxy of metastable structures explained,"TiN, Al2O3",800.0,,1 S,,
Fabrication of functional 3D nanoarchitectures via atomic layer deposition on DNA origami crystals,TiN,250.0,0.24 Torr,30 s,20.0,
"The assembly, characterization, and performance of SISTINE",TiN,250.0,5 Torr,265 s,10.0,
"Phase Composition of AlTiNbMoV, AlTiNbTaZr and AlTiNbMoCr Refractory Complex Concentrated Alloys: A Correlation of Predictions and Experiment","TiN, Al2O3",3.0,1 Pa,2 s,,
Single-crystalline GaAs/Si Heterojunction Tunnel Diodes Interfaced by an Ultrathin Oxygen-enriched Layer,"TiN, Al2O3",200.0,,,80.0,
Revealing the Origin and Nature of the Buried Metal-Substrate Interface Layer in Ta/Sapphire Superconducting Films,"TiN, Al2O3",1.0,6 Pa,0.5 ms,,
Grafted AlGaAs/GeSn Optical Pumping Laser Operating up to 130 K,"TiN, Al2O3",200.0,,6. S,5.0,
Modeling scale-up of particle coating by atomic layer deposition,"TiN, HfO2, Al2O3",14.0,,3 s,,
Impact of ALD-Deposited Ultrathin Nitride Layers on Carrier Lifetimes and Photoluminescence Efficiency in CdTe/MgCdTe Double Heterostructures,"TiN, HfO2, Al2O3",280.0,,,,
Bridging classical and quantum interpretation of chemical state analysis by XPS/HAXPES to resolve short-range order in amorphous alumina films,"TiN, Al2O3",1.0,,1 s,,
X-ray nano-holotomography reconstruction with simultaneous probe retrieval,"TiN, Al2O3",3.0,,9700 S,,
First Demonstration of HZO/beta-Ga2O3 Ferroelectric FinFET with Improved Memory Window,"TiN, HfO2, Al2O3",,,104 s,106.0,
Cryogenic Behavior of High-Permittivity Gate Dielectrics: The Impact of the Atomic Layer Deposition Temperature and the Lithographic Patterning Method,"TiN, HfO2, Al2O3",130.0,25 mTorr,1 s,125.0,
Structural and Electrical Properties of Grafted Si/GaAsSb Heterojunction,"TiN, Al2O3",1050.0,7 torr,0.5 s,,
Improving the long-term stability of new-generation perovskite-based TCO using binary and ternary oxides capping layers,"TiN, Al2O3",150.0,,,,
Multipacting mitigation by atomic layer deposition: the case study of Titanium Nitride,"TiN, Al2O3",30.0,,6 ms,100.0,
Residual Stress Development in Lattice Mismatched Epitaxial Thin Films via Atomic and Molecular Layer Depositions,"TiN, Al2O3",1.0,700 mTorr,2 S,,
Real time observation of oxygen diffusion in CGO thin films using spatially resolved Isotope Exchange Raman Spectroscopy,"TiN, Al2O3",300.0,0.25 pA,2 s,,
The Spike-and-Slab Quantile LASSO for Robust Variable Selection in Cancer Genomics Studies,TiN,,,0 s,,
Growth and Structure of alpha-Ta films for Quantum Circuit Integration,"TiN, Al2O3",300.0,0.4 Pa,60 s,,
Atomic layer etching of SiO$_2$ using sequential exposures of Al(CH$_3$)$_3$ and H$_2$/SF$_6$ plasma,"TiN, HfO2, Al2O3",2.0,250 mTorr,155 s,300.0,
Tailored Fabrication of 3D Nanopores with Dielectric Oxides for Multiple Nanoscale Applications,"TiN, HfO2, Al2O3",600.0,7 pA,1 s,,
Noise reduction by bias cooling in gated Si/SixGe1-x quantum dots,"TiN, Al2O3",22.0,,15 s,,
CAI formation in the early Solar System,"TiN, Al2O3",,,15 s,,
Ferromagnetism and structural phase transition in monoclinic FeGe film,"TiN, Al2O3",,4 Pa,,,
Bessel-beam direct-write of the etch-mask in a nano-film of alumina for high-efficiency Si solar cells,"TiN, Al2O3",,2 Pa,5 S,,
Highly Reproducible and CMOS-compatible VO2-based Oscillators for Brain-inspired Computing,"TiN, HfO2, Al2O3",150.0,11 Pa,20 ms,250.0,
Enhanced Superconductivity in SrTiO$_3$-based Interfaces via Amorphous Al2O3 Capping,"TiN, Al2O3",10.0,1.5 mTorr,,,
The Elusive member of the Ti-Al-C MAX family- Ti4AlC3,"TiN, Al2O3",13500.0,,,,
Additively manufactured ceramics for compact quantum technologies,"TiN, Al2O3",,5 Pa,3 s,,
Chemical tuning of photo- and persistent luminescence of Cr3+-activated beta-Ga2O3 by alloying with Al2O3 and In2O3,"TiN, Al2O3",1500.0,,60 s,,
Reducing two-level system dissipations in 3D superconducting Niobium resonators by atomic layer deposition and high temperature heat treatment,"TiN, Al2O3",650.0,,1 s,100.0,
Analysis of a kink pair model applied to a peierls mechanism in basal and prism plane slips in sapphire deformed between 200C and 1800C,"TiN, Al2O3",200.0,,9 s,,
Buffer-layer-controlled Nickeline vs Zinc-Blende/Wurtzite-type MnTe growths on c-plane Al2O3 substrates,"TiN, Al2O3",135.0,6 Torr,,,
Heterogeneously Integrated Memristive Laser on Silicon with Non-Volatile Wavelength Tuning,"TiN, HfO2, Al2O3",26.0,,,103.0,
Epitaxial growth and magnetic properties of kagome metal FeSn/elemental ferromagnet heterostructures,"TiN, Al2O3",1175.0,10 Torr,,,
Experimentally informed structure optimization of amorphous TiO2 films grown by atomic layer deposition,TiN,1.0,680 mTorr,30 s,200.0,
SnS2 thin film with in-situ and controllable Sb doping via atomic layer deposition for optoelectronic applications,TiN,1.0,,2 S,1.0,
Mixed Convection Heat Transfer and Flow of Al2O3-Water Nanofluid in a Square Enclosure with Heated Obstacles and Varied Boundary Conditions,"TiN, Al2O3",250.0,,20 s,,
Enlargement of Memory Window of Si Channel FeFET by Inserting Al2O3 Interlayer on Ferroelectric Hf0.5Zr0.5O2,"TiN, HfO2, Al2O3",1050.0,,5 s,105.0,
Enhanced Ferromagnetism in Monolayer Cr2Te3 via Topological Insulator Coupling,"TiN, Al2O3",31.0,10 Torr,2 S,,
Accurate prediction of thermal conductivity of Al2O3 at ultrahigh temperatures,"TiN, Al2O3",25.0,,,,
Plasma-enhanced atomic layer deposition of titanium nitride for superconducting devices,"TiN, HfO2, Al2O3",300.0,220 mTorr,300 ms,25.0,
Tailoring Amorphous Boron Nitride for High-Performance 2D Electronics,"TiN, HfO2, Al2O3",1.0,1925 PA,2 s,300.0,
"ExoMol line lists -- LIV: Empirical line lists for AlH and AlD and experimental emission spectroscopy of AlD in $A$ $^1Π$ ($v=0, 1, 2$)",TiN,2018.0,2.5 Torr,1 S,,
Magneto-transport in the monolayer MoS2 material system for high-performance field-effect transistor applications,"TiN, HfO2, Al2O3",11.0,,,,
Lifetime and performance of the very latest microchannel-plate photomultipliers,"TiN, Al2O3",5.0,105 pA,,,
Stability of near surface nitrogen vacancy centers using dielectric surface passivation,"TiN, Al2O3",,,60 s,,
Rheological synergistic thermal conductivity of CMC-based Fe3O4 and Al2O3 nanofluids in shear flow fields,"TiN, Al2O3",,0.3917 Pa,,,
Cross-adversarial local distribution regularization for semi-supervised medical image segmentation,TiN,1.0,,,,
"Direct in- and out-of-plane writing of metals on insulators by electron-beam-enabled, confined electrodeposition with submicrometer feature size","TiN, Al2O3",1.0,40 Pa,1.2 s,,400.0
Post deposition interfacial Néel temperature tuning in magnetoelectric B:Cr2O3,"TiN, Al2O3",800.0,9 Torr,1 S,,
Variability and Reliability of Graphene Field-Effect Transistors with CaF2 Insulators,"TiN, HfO2, Al2O3",3.0,6 torr,400 S,,
Giant interfacial spin-Hall angle from Rashba-Edelstein effect revealed by the spin-Hall Hanle processes,"TiN, Al2O3",,20 mTorr,,,
Modelling reflected polarised light from close-in giant exoplanet WASP-96b using PolHEx (Polarisation of Hot Exoplanets),"TiN, Al2O3",,,1970 s,,
Strong coupling of monolayer WS2 excitons and surface plasmon polaritons in a planar Ag/WS2 hybrid structure,"TiN, Al2O3",1.0,,,,
Structure formation and thermal conduction in polymer-based composites obtained by fused filament fabrication,"TiN, Al2O3",1.0,,0.2 s,,
Coherent X-ray Spectroscopy Elucidates Nanoscale Dynamics of Plasma-Enhanced Thin-Film Growth,"TiN, HfO2",8.0,160 mTorr,500 s,4.0,
Nearly Optimal Algorithms with Sublinear Computational Complexity for Online Kernel Regression,TiN,,,2 S,,
Optical properties of two-dimensional tin nanosheets epitaxially grown on graphene,"TiN, Al2O3",2.0,,1 s,,
Diffusive and Ballistic Transport in Ultra-thin InSb Nanowire Devices Using a Few-layer-Graphene-AlOx Gate,TiN,1.0,,3 S,,
Surface Protection and Activation of Mid-IR Plasmonic Waveguides for Spectroscopy of Liquids,"TiN, HfO2, Al2O3",,,,7.0,
ZnO nanowires grown on Al2O3-ZnAl2O4 nanostructure using solid-vapor mechanism,"TiN, Al2O3",700.0,,,,
Ultrashort Pulse Laser Annealing of Amorphous Atomic Layer Deposited MoS$_2$ Films,TiN,100.0,,2 S,,
Portfolio Optimization Rules beyond the Mean-Variance Approach,TiN,,,0.98 S,,
Direct atomic layer deposition of ultra-thin $Al_{2}O_{3}$ and $HfO_{2}$ films on gold-supported monolayer $MoS_{2}$,"TiN, HfO2, Al2O3",150.0,10 Pa,20 ms,10.0,
Atomic Layer Deposited Protective Coating of Aluminum Oxide on Silver-based Telescope Mirror A Comparison Between a Pure Ozone and H2O Precursor,"TiN, Al2O3",60.0,,99240 S,10.0,
Atomic Layer Deposition Nucleation Dependence on Diamond Surface Termination,"TiN, HfO2, Al2O3",250.0,25 Torr,300 s,30.0,
Absolute radiation tolerance of amorphous alumina coatings at room temperature,"TiN, Al2O3",600.0,68 pA,10 s,20.0,
Mechanical behavior of ion-irradiated ODS RAF steels strengthened with different types of refractory oxides,"TiN, Al2O3",5.0,,5 s,,
XPS analysis of molecular contamination and sp2 amorphous carbon on oxidized (100) diamond,TiN,2.0,8 mTorr,6474 S,30.0,
Probing Interface of Perovskite Oxide Using Surface-specific Terahertz Spectroscopy,"TiN, Al2O3",,,3 s,,
Hybrid integrated near UV lasers using the deep-UV Al2O3 platform,"TiN, Al2O3",1.0,,12 ms,,
Van der Waals device integration beyond the limits of van der Waals forces via adhesive matrix transfer,"TiN, Al2O3",1.0,,3 S,,
Antibacterial Activity of Zinc Oxide Thin Films by Atomic Layer Deposition for Personal Protective Equipment Applications,TiN,350.0,,1 s,,
Potential energy surface prediction of Alumina polymorphs using graph neural network,"TiN, Al2O3",3.0,,,,
Two-Level Systems in Nucleated and Non-Nucleated Epitaxial alpha-Tantalum films,"TiN, Al2O3",500.0,,,,
Design and Fabrication of PERC-Like CdTe Solar Cells Using Micropatterned Al2O3 Layer,"TiN, Al2O3",100.0,,,,
Development of physics-based compositional parameters for predicting the reactivity of amorphous aluminosilicates in alkaline environments,"TiN, Al2O3",3.0,,,,
Pseudopotential Bethe-Salpeter calculations for shallow-core x-ray absorption near-edge structures: excitonic effects in Al2O3,"TiN, Al2O3",3.0,,2 s,,
Work Function Engineered Charge Plasma-Germanium Double Gate Tunnel Field Effect Transistor for Low-Power Switching Applications,"TiN, HfO2, Al2O3",,,1.16 mS,,
Nanomechanical resonators fabricated by atomic layer deposition on suspended 2D materials,TiN,1.0,6 Torr,2 S,,
"Atomistic simulations of the crystalline-to-amorphous transformation of gamma-Al2O3 nanoparticles: delicate interplay between lattice distortions, stresses, and space charges","TiN, Al2O3",5.0,,,,
Waviness affects friction and abrasive wear,"TiN, Al2O3",1.0,,,,
Characterisation of Gamma-irradiated MCz-Silicon Detectors with a High-$K$ Negative Oxide as Field Insulator,"TiN, HfO2, Al2O3",1.0,100 pA,,,
Automated Logging Drone: A Computer Vision Drone Implementation,TiN,,,50 ms,,
Wafer-Scale Growth of Sb2Te3 Films via Low-Temperature ALD for Self-Powered Photodetector,"TiN, Al2O3",80.0,20 pA,10 s,,
Characterization of AlW oxide coatings on aluminum formed by pulsed direct current plasma electrolytic oxidation at ultralow duty cycles,"TiN, Al2O3",4.0,,20 ms,,
Tuning the pH Response of Monolayer Hexagonal Boron Nitride/Graphene Field-Effect Transistors,"TiN, Al2O3",2.0,,,,
Linear and Nonlinear Optical Properties of Iridium Nanoparticles by Atomic Layer deposition,"TiN, HfO2, Al2O3",380.0,,6 s,45.0,
Comprehensive Demonstration of Spin-Hall Hanle Effects in Epitaxial Pt Thin Films,"TiN, Al2O3",,7 torr,,,
Langevin Autoencoders for Learning Deep Latent Variable Models,TiN,0.003,,,,
NonMarkovian Abraham--Lorentz--Dirac Equation: Radiation Reaction without Pathology,TiN,15.0,,,,
Data-driven prediction of room temperature density for multicomponent silicate-based glasses,"TiN, Al2O3",2.0,,,,
Deposition of the stoichiometric coatings by reactive magnetron sputtering,"TiN, Al2O3",250.0,1 Pa,,,
In-situ MOCVD Growth and Band Offsets of Al$_2$O$_3$ Dielectric on $β$-Ga$_2$O$_3$ and $β$-(Al$_x$Ga$_{1-x}$)$_2$O$_3$ thin films,"TiN, HfO2, Al2O3",1000.0,80 torr,1 s,,
Wafer-scale epitaxial growth of the thickness-controllable van der Waals ferromagnet CrTe2 for reliable magnetic memory applications,"TiN, Al2O3",1.0,,,,
Semiconductor-like Optical Properties Unveiled by Modeling of Short-Period Aluminum Oxide-Copper Multi-Layered Nanocomposites Deposited by Sputtering Atomic Layer Augmented Deposition (SALAD),"TiN, Al2O3",150.0,0.24 torr,,,
Terahertz photodetection in scalable single-layer-graphene and hexagonal boron nitride heterostructures,"TiN, HfO2, Al2O3",3.0,760 Torr,2 S,,
Single and two-phase fluid droplet breakup in impulsively generated high-speed flow,"TiN, Al2O3",,5 Pa,1 ms,,
Stable compounds in the CaO-Al2O3 system at high pressures,"TiN, Al2O3",700.0,,,,
The role of Al2O3 interlayer in the synthesis of ZnS/Al2O3/MoS2 core-shell nanowires,"TiN, Al2O3",900.0,,1 s,66.0,
Synthesis of Heavy Fermion CeCoIn5 Thin Film via Pulsed Laser Deposition,"TiN, Al2O3",,7 Torr,2 s,,
A Gate-All-Around Single-Channel In2O3 Nanoribbon FET with Near 20 mA/μm Drain Current,"TiN, HfO2, Al2O3",300.0,0.6 Pa,100 ms,,
A Nanometer-Thick Oxide Semiconductor Transistor with Ultra-High Drain Current,"TiN, HfO2",1.0,437 mTorr,4 S,,
Post-deposition annealing and interfacial ALD buffer layers of Sb$_2$Se$_3$/CdS stacks for reduced interface recombination and increased open-circuit voltages,TiN,1.0,,30 s,,
Investigation of the effect of the grain sizes on the dynamic strength of the fine-grained alumina ceramics obtained by Spark Plasma Sintering,"TiN, Al2O3",,,103 s,,
Nanogap-Enhanced Infrared Spectroscopy with Template-Stripped Wafer-Scale Arrays of Buried Plasmonic Cavities,"TiN, Al2O3",1.0,,,,
Non-equilibrium Phonon Thermal Resistance at MoS2/Oxide and Graphene/Oxide Interfaces,"TiN, HfO2, Al2O3",150.0,7 Torr,1 s,,
Temperature-Dependent Diffuse Reflectance Measurements of Ceramic Powders in the Near- and Mid-Infrared Spectra,"TiN, Al2O3",1000.0,3.35 Pa,300 ms,,
High carrier lifetimes in UMG multicrystalline wafers after P- diffusion compatible with high-efficiency cell structures,"TiN, Al2O3",425.0,,,111.0,
Size effects in the Verwey transition of nanometer-thick micron-wide magnetite crystals,"TiN, Al2O3",1.0,,30 s,,
"Large-mass, low-threshold sapphire detector for rare event searches","TiN, Al2O3",2.0,,2 ms,,
Effect of grain boundary state and grain size on the microstructure and mechanical properties of alumina obtained by SPS: A case of the amorphous layer on particle surface,"TiN, Al2O3",3.0,6 Pa,2 s,,
"Scalable, Highly Crystalline, 2D Semiconductor Atomic Layer Deposition Process for High Performance Electronic Applications","TiN, HfO2, Al2O3",1.0,5 pA,1 s,15.0,
Thermal Shear Waves induced in Mesoscopic Liquids at Low Frequency Mechanical Deformation,"TiN, Al2O3",75.0,200 Pa,23. S,,
"Spin Seebeck effect in iron oxide thin films: Effects of phase transition, phase coexistence, and surface magnetism","TiN, Al2O3",,6 Torr,0.7 S,,
Broadband wavelength-selective isotype heterojunction n+-ZnO/n-Si photodetector with variable polarity,"TiN, HfO2",150.0,,200 ms,,
Scalable production of single 2D van der Waals layers through atomic layer deposition: Bilayer silica on metal foils and films,"TiN, Al2O3",1.0,6 Torr,1 s,2.0,
"Alloyed B-(AlxGa1-x)2O3 bulk Czochralski single B-(Al0.1Ga0.9)2O3 and polycrystals B-(Al0.33Ga0.66)2O3, B-(Al0.5Ga0.5)2O3), and property trends","TiN, Al2O3",600.0,90 pA,10 s,,
Machine Learning-enhanced Efficient Spectroscopic Ellipsometry Modeling,TiN,1.0,,,,
Ultrahigh toughness polycrystalline ceramics without fading of strength,"TiN, Al2O3",1500.0,,2 s,,
"Steam Degradation of Ytterbium Disilicate Environmental Barrier Coatings: Effect of Composition, Microstructure and Temperature","TiN, Al2O3",1350.0,,120 S,,
Effects of structure and temperature on the nature of excitons in the Mo0.6W0.4S2 alloys,TiN,,,16 S,2.0,
Controlling transition metal atomic ordering in two-dimensional Mo$_{1-x}$W$_{x}$S$_{2}$ alloys,TiN,2.0,6 mTorr,3.5 S,2.0,
Spatially-Modulated Silicon Interface Energetics via Hydrogen Plasma-Assisted Atomic Layer Deposition of Ultrathin Alumina,"TiN, Al2O3",100.0,0.09 Torr,1 s,10.0,
Water-Superstructured Solid Fuel Cells,"TiN, Al2O3",1000.0,,0.1 S,,
Scalable transparent conductive thin films with electronically passive interfaces for direct chemical vapor deposition of 2D materials,"TiN, Al2O3",850.0,0.09 Torr,2 s,,
Learning Generalizable Shape Completion with SIM(3) Equivariance,TiN,15.0,,76 ms,,
Hy-Facial: Hybrid Feature Extraction by Dimensionality Reduction Methods for Enhanced Facial Expression Classification,TiN,4.0,,,,
Molecular dynamics insights into the Debye process of 1-propanol,TiN,1.0,,,,
Secure ISAC with Fluid Antenna Systems: Joint Precoding and Port Selection,TiN,,,3 s,,
Electrical Readout of Spin Environments in Diamond for Quantum Sensing,TiN,1.0,,,,
HilbertA: Hilbert Attention for Image Generation with Diffusion Models,TiN,15.0,,,,
Optimal Matching Strategies in Two-sided Markets: A Mean Field Approach,TiN,63.0,,,,
Diversity of Cold Worlds: Predicted Near- to Mid-infrared Spectral Signatures of a Cold Brown Dwarf with Potential Auroral Heating,TiN,5.0,,2 S,,
Topology-Optimized Dielectric Cavities for Enhanced Excitonic Light Emission from $\rm WSe_{2}$,TiN,1.0,200 pA,10 s,,
Nondestructive characterization of laser-cooled atoms using machine learning,TiN,2.0,12 pa,100 ms,,
ErrorPrism: Reconstructing Error Propagation Paths in Cloud Service Systems,TiN,0.0,,2 S,,
Multi-View Camera System for Variant-Aware Autonomous Vehicle Inspection and Defect Detection,TiN,,,300 ms,,
Silicon pinhole strip defects and their impact on ATLAS Inner Tracker HV current measurement,TiN,,,2 s,,
"The Grammar of FAIR: A Granular Architecture of Semantic Units for FAIR Semantics, Inspired by Biology and Linguistics",TiN,2.0,,78 S,,
Strain-Gradient-Driven Decoupling of Thermal Suppression from Anisotropy in \b{eta}-Ga2O3,"TiN, Al2O3",1.0,,,,
Increase in packing density during multi-layer powder spreading: An experimental and numerical study,TiN,2.0,,7 s,,
MoSe2 and WSe2 shell morphology control via temperature optimization during two-step growth of ZnSe-based core-shell nanowires,"TiN, Al2O3",1000.0,5 mTorr,1 s,,
Femtosecond Laser Crystallization of Ultrathin a-Ge Films in Multilayer Stacks with Silicon Layers,TiN,4.0,,,,
A general optimization framework for mapping local transition-state networks,TiN,2.0,,0.5 s,,
From Shapiro steps to photon-assisted tunneling in microwave-driven atomic-scale Josephson junctions with a single (magnetic) adatom,TiN,1.0,,50 S,,
The silence of the weights: an investigation of structural pruning strategies for attention-based audio signal architectures,TiN,,,40 S,,
LLM Agents for Knowledge Discovery in Atomic Layer Processing,TiN,2.0,101325 Pa,7200 s,,
Improved capabilities of the TurboGAP code for radiation induced cascade simulations: an illustration with silicon,TiN,100.0,,,,
"PDE Solvers Should Be Local: Fast, Stable Rollouts with Learned Local Stencils",TiN,1.0,,0.1 s,,
Parallax: Efficient LLM Inference Service over Decentralized Environment,TiN,,,10 ms,,
The detection of high X-ray polarization from an accretion disc corona source and its modelling via Monte Carlo radiation transfer simulation,TiN,,40 PA,2 S,,
Leveraging AI modelling for FDS with Simvue: monitor and optimise for more sustainable simulations,TiN,,,120 s,,
Confinement of Polariton Condensates in quasi-Flatband BICs in Plasmonic and Dielectric Metasurfaces,"TiN, Al2O3",1.0,,,,
The diffusion-driven orthorhombic to tetragonal transition in YBa$_2$Cu$_3$O$_7$ derived with a machine learning interatomic potential,TiN,5.0,,,,
Decoding Shake-up Satellites in XPS through Large-Scale ab initio Simulations: Spectral Signatures of Ring Fusion in Porphyrins,TiN,1.0,,1 s,,
Extreme NiI/FeI abundance ratio in the coma of the interstellar comet 3I/ATLAS,TiN,19.0,,2 s,,
Scaling Up Temporal Domain Generalization via Temporal Experts Averaging,TiN,2024.0,,1 S,,
Edge-On Disk Study (EODS) III: Molecular Stratification in the Flying Saucer Disk,TiN,0.02,,00387. S,,
Muon Outperforms Adam in Tail-End Associative Memory Learning,TiN,14.0,,,,
Arbitrary Instantaneous Bandwidth Microwave Receiver via Scalable Rydberg Vapor Cell Array with Stark Comb,TiN,,,400 S,,
User-Centric Comparison of 5G NTN and DVB-S2/RCS2 Using OpenAirInterface and OpenSAND,TiN,,,520 ms,,
Scaling Equilibrium Propagation to Deeper Neural Network Architectures,TiN,0.0,,,,
Weak Martingale Solutions of the Stochastic Schrödinger-Poisson-Landau-Lifshitz-Gilbert System,TiN,0.0,,2 s,,
Rare-event detection in a backward-facing-step flow using live optical-flow velocimetry: observation of an upstream jet burst,TiN,11.0,,5.15 s,,
Reevaluating Convolutional Neural Networks for Spectral Analysis: A Focus on Raman Spectroscopy,TiN,1.0,,,,
